Part Number,Collection,Color,Category,Action,Image Source,Image Number,Column,Filename,URL,Result
NC6500-WT-713-2C2OT-CLC-SPT713,6500 - WT,Cloud Out Cloud,Furniture,New image downloaded,Wayfair,5,Wayfair Image 5,c3636c97dcdc64736df2e55f346a19b1.jpg,https://www.dropbox.com/scl/fi/1pn5sy5bnl7jq9ycp8dvt/NC6500-WT-713-2C2OT-CLC-SPT713_5.jpg?rlkey=esvncynol7oo4whglk383irn1&dl=1,ok
NC6500-WT-713-2SR-CG,6500 - WT,Canvas Granite,Furniture,New image downloaded,Wayfair,1,Wayfair Image 1,4e658d5d27840f63e0202d3bb3c9dc2b.jpg,https://www.dropbox.com/scl/fi/3gfefrzin7c1537cuj5l5/NC6500-WT-713-2SR-CG_1.jpg?rlkey=b84x2oynmrcett1jljz94owll&dl=1,ok
NC6500-WT-713-2SR-CG,6500 - WT,Canvas Granite,Furniture,New image downloaded,Wayfair,2,Wayfair Image 2,b9f51d619f790e0b56cb0fb3452f64b0.jpg,https://www.dropbox.com/scl/fi/gwl3ws6qltsn07dysbr6l/NC6500-WT-713-2SR-CG_2.jpg?rlkey=xxs3ue1uv9p9a8v1b957h0bbq&dl=1,ok
NC6500-WT-713-2SR-SR,6500 - WT,Shore Classic,Furniture,New image downloaded,Wayfair,1,Wayfair Image 1,d88beb39df3c5c16f0e19de1ebce5996.jpg,https://www.dropbox.com/scl/fi/n4ts2x1qjt158q0xeroat/NC6500-WT-713-2SR-SR_1.jpg?rlkey=3380rziqdn66yb7l2b4snlkuv&dl=1,ok
NC6500-WT-713-2SR-RHA,6500 - WT,Relate Harbor,Furniture,New image downloaded,Wayfair,2,Wayfair Image 2,51e49a0879e8cec2798dbadba5dc53de.jpg,https://www.dropbox.com/scl/fi/70uexu2dajh8886gg1wg7/NC6500-WT-713-2SR-RHA_2.jpg?rlkey=n4b58vjeppqatnoa9kcdxu73o&dl=1,ok
NC6500-WT-713-2SR-RHA,6500 - WT,Relate Harbor,Furniture,New image downloaded,Wayfair,3,Wayfair Image 3,f0d0610972b441c7c112fce6845e7adb.jpg,https://www.dropbox.com/scl/fi/mq325f31usbzb7svdmzr6/NC6500-WT-713-2SR-RHA_3.jpg?rlkey=b2owwdtadt0i2dj66gvq8vj4p&dl=1,ok
NC6500-WT-713-2SR-RHA,6500 - WT,Relate Harbor,Furniture,New image downloaded,Wayfair,4,Wayfair Image 4,b1512b8da3221c5cf68dd21cc3d08f38.jpg,https://www.dropbox.com/scl/fi/d0o3p2sgtu9wpbler0w21/NC6500-WT-713-2SR-RHA_4.jpg?rlkey=f61bf3wnjb83rtofcjj1nt5ep&dl=1,ok
NC6500-WT-713-2SR-RHA,6500 - WT,Relate Harbor,Furniture,New image downloaded,Wayfair,5,Wayfair Image 5,d6fe31b4c059ae59535ab1fcc78c0f44.jpg,https://www.dropbox.com/scl/fi/2a03o16p94s370d08j2p3/NC6500-WT-713-2SR-RHA_5.jpg?rlkey=v2x319sh6gsl06yhfp7k2ggil&dl=1,ok
NC6500-WT-713-2SR-CN,6500 - WT,Canvas Natural,Furniture,New image downloaded,Wayfair,4,Wayfair Image 4,e9bd07869f4a609610fb4fcd3aceb407.jpg,https://www.dropbox.com/scl/fi/fhpcnhr965wdb24tbfh1i/NC6500-WT-713-2SR-CN_4.jpg?rlkey=p1h5uvorucaf7gqjf19slhh6x&dl=1,ok
NC6500-WT-713-2SR-BK,6500 - WT,Canvas Black,Furniture,New image downloaded,Wayfair,1,Wayfair Image 1,36a1546af86ce4ab42ff3a5b71afb9d3.jpg,https://www.dropbox.com/scl/fi/lvfn61a2oel858pyq28vr/NC6500-WT-713-2SR-BK_1.jpg?rlkey=6mvqjs6k4r3yjsd3why9g55od&dl=1,ok
